11.04.2023                                                                                                     Saída dinâmica de lista                                                                                                             1


		 Val/MoeACC	MdACC	Def.proj.	Material	  Qtd.entr.	Texto breve material	     Valor/MT	Elemento PEP	Data doc.	Usuário	Nº doc.	Itm	 Valor/MObj	Denominação	Entrado em	Nº doc.ref

		      0,02	BRL	B-0265746				        0,02	B-0265746-SUPR	31.01.2023	CLB340051	1086631100		      0,02	Ajuste AIC_Credor_Jan.2023	01.02.2023	500005087
		-0,02	BRL	B-0265746				-0,02	B-0265746-SUPR	31.01.2023	CLB340051	1086647999		-0,02	Ajuste AIC_Credor_Jan.2023	01.02.2023	500005088
	*			B-0265746				        0,00
		-4.909,04	BRL	B-0265746	0211190	-2	TRAFO 1FF 10KVA 34,5KV 220V 3T MI	-4.909,04	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-4.909,04	DM para projeto	03.12.2020	4900830323
		  4.909,04	BRL	B-0265746	0211190	         2	TRAFO 1FF 10KVA 34,5KV 220V 3T MI	    4.909,04	B-0265746-SUPR	10.08.2020	AMA418508	1068663495		  4.909,04	SM para projeto	10.08.2020	4900524779
	*			B-0265746	0211190	         0	TRAFO 1FF 10KVA 34,5KV 220V 3T MI	        0,00
		  4.360,44	BRL	B-0265746	0211304	         1	TRAFO 1FF 10KVA 34,5KV 220V 3T VG	    4.360,44	B-0265746-SUPR	03.04.2023	STC005659	1088337891		  4.360,44	SM para projeto	03.04.2023	4900280253
	*			B-0265746	0211304	         1	TRAFO 1FF 10KVA 34,5KV 220V 3T VG	    4.360,44
		  1.335,45	BRL	B-0265746	0401010	         6	PARA-RAIOS RD 33KV 10KA	    1.335,45	B-0265746-SUPR	03.04.2023	STC005659	1088337891		  1.335,45	SM para projeto	03.04.2023	4900280253
	*			B-0265746	0401010	         6	PARA-RAIOS RD 33KV 10KA	    1.335,45
		  1.383,66	BRL	B-0265746	0401024	         6	PARA-RAIOS RD    33,00KV  10KA	    1.383,66	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		  1.383,66	SM para projeto	29.06.2020	4900417984
		-1.383,66	BRL	B-0265746	0401024	-6	PARA-RAIOS RD    33,00KV  10KA	-1.383,66	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-1.383,66	DM para projeto	03.12.2020	4900830323
	*			B-0265746	0401024	         0	PARA-RAIOS RD    33,00KV  10KA	        0,00
		  1.405,55	BRL	B-0265746	0531005	         7	CH FUS DIST C 34,5KV 300A 3,5KA	    1.405,55	B-0265746-SUPR	13.07.2020	AMA418508	1068194239		  1.405,55	SM para projeto	13.07.2020	4900447367
		-1.405,53	BRL	B-0265746	0531005	-7	CH FUS DIST C 34,5KV 300A 3,5KA	-1.405,53	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-1.405,53	DM para projeto	03.12.2020	4900830323
		-0,02	BRL	B-0265746	0531005		CH FUS DIST C 34,5KV 300A 3,5KA	-0,02	B-0265746-SUPR	12.05.2022	CLB140490	1080173573		-0,02	Doctos Razão - Material	12.05.2022	100761970
		    574,04	BRL	B-0265746	0531005	         2	CH FUS DIST C 34,5KV 300A 3,5KA	      574,04	B-0265746-SUPR	13.03.2023	STC005659	1087636388		    574,04	SM para projeto	13.03.2023	4900211673
		  1.442,21	BRL	B-0265746	0531005	         5	CH FUS DIST C 34,5KV 300A 3,5KA	    1.442,21	B-0265746-SUPR	03.04.2023	STC005659	1088337891		  1.442,21	SM para projeto	03.04.2023	4900280253
	*			B-0265746	0531005	         7	CH FUS DIST C 34,5KV 300A 3,5KA	    2.016,25
		     17,84	BRL	B-0265746	0536778	         5	ELO FUSIVEL 15,0/36,2 KV 0,5H COBRE	       17,84	B-0265746-SUPR	13.07.2020	AMA418508	1068194239		     17,84	SM para projeto	13.07.2020	4900447367
		-17,85	BRL	B-0265746	0536778	-5	ELO FUSIVEL 15,0/36,2 KV 0,5H COBRE	-17,85	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-17,85	DM para projeto	03.12.2020	4900830323
		      0,01	BRL	B-0265746	0536778		ELO FUSIVEL 15,0/36,2 KV 0,5H COBRE	        0,01	B-0265746-SUPR	12.05.2022	CLB140490	1080173557		      0,01	Doctos Razão - Material	12.05.2022	100761954
		      9,16	BRL	B-0265746	0536778	         2	ELO FUSIVEL 15,0/36,2 KV 0,5H COBRE	        9,16	B-0265746-SUPR	13.03.2023	STC005659	1087636388		      9,16	SM para projeto	13.03.2023	4900211673
		     13,73	BRL	B-0265746	0536778	         3	ELO FUSIVEL 15,0/36,2 KV 0,5H COBRE	       13,73	B-0265746-SUPR	03.04.2023	STC005659	1088337891		     13,73	SM para projeto	03.04.2023	4900280253
	*			B-0265746	0536778	         5	ELO FUSIVEL 15,0/36,2 KV 0,5H COBRE	       22,89
		      7,41	BRL	B-0265746	0536784	         2	ELO FUSIVEL 15,0/36,2 KV 6K COBRE	        7,41	B-0265746-SUPR	06.07.2020	AMA418508	1068124848		      7,41	SM para projeto	06.07.2020	4900431407
		-7,42	BRL	B-0265746	0536784	-2	ELO FUSIVEL 15,0/36,2 KV 6K COBRE	-7,42	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-7,42	DM para projeto	03.12.2020	4900830323
		      0,01	BRL	B-0265746	0536784		ELO FUSIVEL 15,0/36,2 KV 6K COBRE	        0,01	B-0265746-SUPR	12.05.2022	CLB140490	1080173558		      0,01	Doctos Razão - Material	12.05.2022	100761955
		      9,69	BRL	B-0265746	0536784	         2	ELO FUSIVEL 15,0/36,2 KV 6K COBRE	        9,69	B-0265746-SUPR	03.04.2023	STC005659	1088337891		      9,69	SM para projeto	03.04.2023	4900280253
	*			B-0265746	0536784	         2	ELO FUSIVEL 15,0/36,2 KV 6K COBRE	        9,69
		    100,37	BRL	B-0265746	2200001	     5,600	FIO ALUM NU H14/H24 21,15MM2	      100,37	B-0265746-SUPR	29.06.2020	AMA418508	1068033176		    100,37	SM para projeto	29.06.2020	4900418031
		-100,35	BRL	B-0265746	2200001	-5,600	FIO ALUM NU H14/H24 21,15MM2	-100,35	B-0265746-SUPR	07.07.2021	ECM390578	1073947769		-100,35	DM para projeto	07.07.2021	4900473356
		-0,02	BRL	B-0265746	2200001		FIO ALUM NU H14/H24 21,15MM2	-0,02	B-0265746-SUPR	12.05.2022	CLB140490	1080173575		-0,02	Doctos Razão - Material	12.05.2022	100761972
	*			B-0265746	2200001	     0,000	FIO ALUM NU H14/H24 21,15MM2	        0,00
		    151,61	BRL	B-0265746	2200002	     5,600	FIO ALUM NU H14/H24 21,15MM2	      151,61	B-0265746-SUPR	03.04.2023	STC005659	1088337891		    151,61	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2200002	     5,600	FIO ALUM NU H14/H24 21,15MM2	      151,61
		  4.130,44	BRL	B-0265746	2202040	   277,830	CABO ALUM NU CAA 4AWG 1F SWAN	    4.130,44	B-0265746-SUPR	21.07.2020	AMA418508	1068283764		  4.130,44	SM para projeto	21.07.2020	4900470692
		-4.131,33	BRL	B-0265746	2202040	-277,830	CABO ALUM NU CAA 4AWG 1F SWAN	-4.131,33	B-0265746-SUPR	07.07.2021	ECM390578	1073947768		-4.131,33	DM para projeto	07.07.2021	4900473355
		      0,89	BRL	B-0265746	2202040		CABO ALUM NU CAA 4AWG 1F SWAN	        0,89	B-0265746-SUPR	12.05.2022	CLB140490	1080173541		      0,89	Doctos Razão - Material	12.05.2022	100761938
		  6.669,18	BRL	B-0265746	2202040	   277,830	CABO ALUM NU CAA 4AWG 1F SWAN	    6.669,18	B-0265746-SUPR	03.04.2023	STC005659	1088337891		  6.669,18	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2202040	   277,830	CABO ALUM NU CAA 4AWG 1F SWAN	    6.669,18
		    527,71	BRL	B-0265746	2203008	    16,000	CABO COBRE NU C2A MD 35 MM2	      527,71	B-0265746-SUPR	29.06.2020	AMA418508	1068033176		    527,71	SM para projeto	29.06.2020	4900418031
		-527,68	BRL	B-0265746	2203008	-16,000	CABO COBRE NU C2A MD 35 MM2	-527,68	B-0265746-SUPR	07.07.2021	ECM390578	1073947768		-527,68	DM para projeto	07.07.2021	4900473355
		-0,03	BRL	B-0265746	2203008		CABO COBRE NU C2A MD 35 MM2	-0,03	B-0265746-SUPR	12.05.2022	CLB140490	1080173579		-0,03	Doctos Razão - Material	12.05.2022	100761976
		    924,58	BRL	B-0265746	2203008	    16,000	CABO COBRE NU C2A MD 35 MM2	      924,58	B-0265746-SUPR	03.04.2023	STC005659	1088337891		    924,58	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2203008	    16,000	CABO COBRE NU C2A MD 35 MM2	      924,58
		    550,29	BRL	B-0265746	2205000	    16,100	FIO DE AÇO COBREADO 4 AWG	      550,29	B-0265746-SUPR	29.06.2020	AMA418508	1068033176		    550,29	SM para projeto	29.06.2020	4900418031
		-550,30	BRL	B-0265746	2205000	-16,100	FIO DE AÇO COBREADO 4 AWG	-550,30	B-0265746-SUPR	07.07.2021	ECM390578	1073947769		-550,30	DM para projeto	07.07.2021	4900473356
		      0,01	BRL	B-0265746	2205000		FIO DE AÇO COBREADO 4 AWG	        0,01	B-0265746-SUPR	12.05.2022	CLB140490	1080173560		      0,01	Doctos Razão - Material	12.05.2022	100761957
	*			B-0265746	2205000	     0,000	FIO DE AÇO COBREADO 4 AWG	        0,00
		    999,22	BRL	B-0265746	2206000	    25,600	CABO NU ACO-COBRE  2 AWG	      999,22	B-0265746-SUPR	29.06.2020	AMA418508	1068033176		    999,22	SM para projeto	29.06.2020	4900418031
